Title;Speaker;Place;Day;Time;Description
"Follow the money - Tracking companies&#39; influence on politics (Sponsored by the Donald W. Reynolds National Center for Business Journalism)";;Clarendon-Dartmouth;Wednesday;12:30 p.m. - 5 p.m.;"These days, the business of businesses is often politics, and by understanding the legislative and regulatory priorities of the companies you cover, you can provide your readers with critical information about them. Ron Nixon of The New York Times and Bill Allison of the Sunlight Foundation show you how to follow the political money and influence that&rsquo;s so crucial to the bottom lines of businesses.&nbsp;"
Pre-day at IRE Conference;;See printed schedule for room information;Thursday;midnight - midnight;
Uncovering danger with data;;Salon C-D;Thursday;9 a.m. - 10 a.m.;"Data can help reporters ferret out perilous situations from schools to the environment. Some data can uncover danger to life and limb while other data can create danger of the editorial kind. We&rsquo;ll speak on ways to tell the difference and discuss case studies along the way."
Covering justice in Europe and the U.S.;;Salon E;Thursday;9 a.m. - 10 a.m.;"In this panel, speakers will examine how journalists find sources and information in these different environments, using such well known cases as the CIA&rsquo;s rendition of Al Qaeda suspect Abu Omar in Italy and the charges of rape against Dominique Strauss Kahn."
Tableau for Beginners;;Wellesley;Thursday;9 a.m. - 12:30 p.m.;
Overview of the year in CAR;;Arlington-Berkeley;Thursday;9 a.m. - 10 a.m.;Be inspired and see what your colleagues have been up to with new data and creative analysis.
The ask: Requesting and negotiating for data;;Clarendon-Dartmouth;Thursday;9 a.m. - 10 a.m.;
Collaboration: Best practices, successes and pitfalls (Sponsored by John S. and James L. Knight Foundation, Investigative News Network and IRE);;Salon A-B;Thursday;10 a.m. - 10:30 a.m.;"As collaborations between newsrooms flourish, how do you handle serious  journalistic disagreements, such as how a story&rsquo;s findings are described  in the nutgraph? We'll have a brief panel discussion on a case where  that&rsquo;s exactly what happened, hear how the newsrooms handled it, and  hear your questions and opinions on the subject."
Beef up your spreadsheet with NodeXL and PowerPivot;;Suffolk;Thursday;10:10 a.m. - 11:10 a.m.;"
"
Welcome to the world of data: Now what do you do?;;Salon C-D;Thursday;10:10 a.m. - 11:10 a.m.;"
"
Analyzing unstructured data for stories;;Arlington-Berkeley;Thursday;10:10 a.m. - 11:10 a.m.;"
"
Privacy: Where does access end?;;Clarendon-Dartmouth;Thursday;10:10 a.m. - 11:10 a.m.;"
"
CAR for managers;;Salon E;Thursday;10:10 a.m. - 11:10 a.m.;"
"
Collaboration: Story brainstorming sessions (Sponsored by John S. and James L. Knight Foundation, Investigative News Network and IRE);;Salon A-B;Thursday;10:30 a.m. - noon;We will break into groups to brainstorm collaborative story  possibilities around four datasets, with the goal of returning to your  newsroom and launching into a project. The break-out groups will be:
Embedding interactive data and live charts using free Office Web apps;;Suffolk;Thursday;11:10 a.m. - 12:10 p.m.;Learn how to take your Excel workbooks and quickly turn them into part of your published story by using the free Excel Web App. If you have a data-driven story, chances are you already have an Excel workbook with the data. By adding a few extra minutes of work, you can have interactive and gorgeous datasets available to your readers online and as an integral part of your story.
Taming monstrous datasets;;Clarendon-Dartmouth;Thursday;11:20 a.m. - 12:20 p.m.;"This panel offers guidance on handling stories involving very big datasets, often with millions of records. It&rsquo;s geared to both data specialists and dataminded reporters. Learn strategies for compressing data into manageable chunks, approaching wide data tables, and handling multiple look-up tables. Grease the collaboration between reporters and data gurus."
Visualizing the story;;Salon E;Thursday;11:20 a.m. - 12:20 p.m.;The latest techniques for turning non-visual data into must-see TV and more.
Investigating social networks;;Arlington-Berkeley;Thursday;11:20 a.m. - 12:20 p.m.;"What is network analysis (aka social network analysis)? How can I use it in my reporting? We&rsquo;ll cover the basic concepts involved in analyzing the connections between people and organizations. We&rsquo;ll look at a project that analyzed the social connections of 1,000 high-ranking officials in South Korea."
The new money trail: Tracking spending in an earmark-free world;;Salon C-D;Thursday;11:20 a.m. - 12:20 p.m.;"In 2010 Congress banned earmarks, a legislative gimmick, which lets lawmakers attach pet projects to spending bills. But that hasn&rsquo;t stopped lawmakers from trying to bring home the dollars. This panel will examine the many ways lawmakers are still able to get projects funded for highways, sewer systems, even projects to beneficial to campaign donors, in their districts or states despite the ban."
Protect Yourself: Legal and risk-management (Sponsored by John S. and James L. Knight Foundation, Investigative News Network and IRE);;Salon A-B;Thursday;1:30 p.m. - 3 p.m.;"The Digital Media Law Project will lead a session examining the         legal parameters of tax-exempt journalism, including: designing         organizations that qualify for federal tax relief and         tax-deductible donations; keeping a nonprofit organization         afloat while waiting for an IRS determination on tax-exempt         status; operating a journalism organization within the         boundaries of Section 501(c)(3) of the Internal Revenue Code;         and legal assistance and risk management techniques. The Digital         Media Law Project is based at Harvard University and has         provided valuable assistance to several INN members over the         past year."
Tableau for Pros;;Wellesley;Thursday;1:30 p.m. - 5:30 p.m.;"
"
There be dragons: Pitfalls of statistical analysis;;Salon C-D;Thursday;2:30 p.m. - 3:30 p.m.;"
"
Catching the wind: Visualizing and repurposing public data;;Clarendon-Dartmouth;Thursday;2:30 p.m. - 3:30 p.m.;"
"
