Title;Speaker;Place;Day;Time;Description
TechRaking 5ish: Bootstrapping the news (Sponsored by The Center for Investigative Reporting);Agustin Armendariz, Michael Corey, Aaron Williams;Chesapeake;Wednesday;1 p.m. - 5 p.m.;Emcees: Agustin Armendariz, Michael Corey, Aaron Williams
CAR Conference Registration (Wednesday);TBA;University Ballroom;Wednesday;2 p.m. - 5 p.m.;Registration will be located on the 1st floor of the Baltimore Marriott Inner Harbor in University Ballroom.
Detecting corporate fraud (Sponsored by Donald W. Reynolds National Center for Business Journalism);Roddy Boyd, Theo Francis;Salon DEF;Wednesday;2 p.m. - 5 p.m.;"The Donald W. Reynolds National Center for Business Journalism will offer a free pre-conference workshop from 2-5 p.m. on Wednesday, Feb. 26. In this free workshop, journalists will learn techniques for digging &ndash; with an eye for fraud &ndash; into U.S. Securities and Exchange Commission filings and other disclosures. Instead of spending weeks scouring aimlessly through hundreds of pages of corporate documents, reporters will gain an understanding of what key financial information is available, where to look in the documents to quickly identify trouble spots and how to recognize when crucial details are missing."
CAR Conference Sales (Thursday);TBA;University Ballroom;Thursday;7:30 a.m. - 5 p.m.;"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.&nbsp;"
CAR Conference Registration (Thursday);TBA;University Ballroom;Thursday;7:30 a.m. - 5 p.m.;Registration will be located on the 1st floor of the Baltimore Marriott Inner Harbor in University Ballroom.
Welcome and overview of the conference;Jaimi Dowdell, Mark Horvit, Megan Luther;Grand Ballroom West;Thursday;8:30 a.m. - 8:50 a.m.;
Tableau Public for beginners (Hosted by Tableau);Jewel Loree;Stadium 1;Thursday;9 a.m. - 12:30 p.m.;Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to: Connect to Excel files and other data, create maps and charts, format them beautifully and make them interactive.
NewsCamp::The next generation of data viz;Alberto Cairo;Grand Ballroom East;Thursday;9 a.m. - 9:50 a.m.;
Getting started with open-source database manager MySQL;TBA;Stadium 3;Thursday;9 a.m. - 9:50 a.m.;
PyCAR Mini Boot Camp;Heather Billings, Tom Meagher, Eric Sagara;See printed schedule for room information;Thursday;9 a.m. - 4:50 p.m.;Introduction to Python
Mapping Mini Boot Camp;Jennifer LaFleur, David Herzog, Robby Deming, Clem Henriksen, Brian Peterson;Stadium 2;Thursday;9 a.m. - 4:50 p.m.;Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp and receive a free copy of ArcGIS Desktop*.
Media as data, illuminating the undiscovered country of television news;Roger Macdonald;Chesapeake;Thursday;9 a.m. - 9:50 a.m.;
Controlling CAR conference overload;Megan Luther, Tisha Thompson;Grand Ballroom West;Thursday;9 a.m. - 9:50 p.m.;
