Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Techraking &lt;=10: Bootstrapping the News (Sponsored by The Center for Investigative Reporting),2015-03-04,1:00:00 p.m.,2015-03-04,5:00:00 p.m.,False,"Give us four hours and your laptop, and we&rsquo;ll send you into NICAR with a fully-functioning data-crunching machine and the knowledge to use it. | URL: http://ire.org/events-and-training/event/1494/1695/",International 10,False
,Secrets of Covering Money (Sponsored by the Donald W. Reynolds National Center for Business Journalism),2015-03-04,2:00:00 p.m.,2015-03-04,5:00:00 p.m.,False,"Speakers: Brandon Quester - Money is in every story, from education to politics to metro, sports and entertainment. Learn how to explore the money across many beats in this pre-conference Reynolds Center workshop led by Brandon Quester.&nbsp; | URL: http://ire.org/events-and-training/event/1494/1694/",International 8-9,False
,Welcome and overview of the conference,2015-03-05,8:30 a.m.,2015-03-05,8:50 a.m.,False,"Speakers: Jaimi Dowdell, Alex Richards, Megan Luther, Mark Horvit - Welcome to the conference! IRE staff will highlight key sessions and events that you won't want to miss while in Atlanta. We'll also give you a brief rundown on some of the resources IRE has to offer. | URL: http://ire.org/events-and-training/event/1494/1698/",International 8-9,False
databases,Getting started with open-source database manager MySQL,2015-03-05,9:00:00 a.m.,2015-03-05,10:00:00 a.m.,False,"Speakers: T. Christian Miller - Plenty of data these days come in large or relational tables that require a good database manager, beyond what Excel and even Access can offer. MySQL is a free, powerful, and popular open-source tool, and with it you can transform and analyze almost any dataset. In this class we will introduce you to MySQL and how it works. Please note that we cannot help you install it here, but there'll be plenty of help for that at the installation party Sunday at 9 a.m. | URL: http://ire.org/events-and-training/event/1494/1791/",M103,False
python,Intermediate Python,2015-03-05,9:00:00 a.m.,2015-03-05,5:30 p.m.,False,"Speakers: Jeremy Bowers, Serdar Tumgoren - You've written a few Python scripts that get the job done, but the initial euphoria has worn off. Your code is hard to understand. Bugs are cropping up. Worse, you can't always explain your process or results to an editor -- or yourself. There must be a better way, but the path forward is not clear. If you've had that itchy feeling, this daylong, hands-on workshop is for you. | URL: http://ire.org/events-and-training/event/1494/1600/",M102,False
,Map Camp (pre-registered attendees only),2015-03-05,9:00:00 a.m.,2015-03-05,5:30 p.m.,False,"Speakers: David Herzog, Jennifer LaFleur, Robby Deming, Brian Peterson - Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp and receive a free copy of ArcGIS Desktop*. | URL: http://ire.org/events-and-training/event/1494/1598/",M109,False
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau),2015-03-05,9:00:00 a.m.,2015-03-05,10:30 a.m.,False,"Speakers: Ben Jones - Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video.&nbsp; | URL: http://ire.org/events-and-training/event/1494/1607/",M101,False
,Twitter tricks and analytics,2015-03-05,9:00:00 a.m.,2015-03-05,10:00:00 a.m.,False,Speakers: TBA | URL: http://ire.org/events-and-training/event/1494/1792/,M107,False
,From words to pictures: Text analysis and visualization,2015-03-05,9:00:00 a.m.,2015-03-05,10:00:00 a.m.,False,"Speakers: Nicholas Diakopoulos - You've got a massive pile of text: some Ferguson tweets, a box of now OCRed documents, or maybe a corpus of press releases you scraped. How do you make sense of it? In this session I'll introduce some alternatives for using text visualization to see your texts in different ways. Then I'll talk about some of the machinery for text analysis that you'll need to get there, with pointers out to Python tools. Next year you'll be visualizing the SOTU like a pro. | URL: http://ire.org/events-and-training/event/1494/1700/",International 10,False
python,PyCAR,2015-03-05,9:00:00 a.m.,2015-03-05,5:30 p.m.,False,"Introduction to Python. This hands-on workshop will teach journalists basic programming concepts using the Python language. The daylong class will introduce language basics and useful libraries in the course of a typical reporting project: scraping data from the Web, inserting it in a database and analyzing the results. | URL: http://ire.org/events-and-training/event/1494/1599/",See printed schedule for room information,False
spreadsheets,Excel magic (advanced functions),2015-03-05,9:00:00 a.m.,2015-03-05,10:00:00 a.m.,False,"Speakers:  - Learn about various tools and functions in Excel that come in handy when you need to re-structure or otherwise get your data ready for analysis. We'll cover string functions, logical functions, date functions, the Tableau Reshaper, merging data using lookup functions and perhaps a few other nifty tricks if time allows. This is a fast-paced class intended to introduce you to these tools, not master them. But you'll walk out with practice data and a 20-page tipsheet that covers in detail everything we do in class, plus other great Excel tips. | URL: http://ire.org/events-and-training/event/1494/1616/",M105,False
,Investigating business with data,2015-03-05,9:00:00 a.m.,2015-03-05,10:00:00 a.m.,False,"Businesses raise and spend trillions of dollars, build and tear down property, file for patents and copyrights, set up complex partnerships, sue and get sued, and otherwise file reams of documents every year. With all that activity, they leave plenty of marks for journalists to follow. Take your stories beyond the usual sources and learn how to dig through data for business investigations. | URL: http://ire.org/events-and-training/event/1494/1696/",International 2-3,False
,Getting started: Intro to CAR and the conference,2015-03-05,9:00:00 a.m.,2015-03-05,10:00:00 a.m.,False,"Speakers: Megan Luther, Ron Nixon, Jill Riepenhoff - Are you new to data journalism or does this happen to be your first time at a CAR conference? Is it time to up your game but you're not sure how to take the next step? If so, this session will help you get on track to make sure that you get the best experience possible from the 2015 CAR Conference. We'll highlight sessions and give you tips for success during and after the conference. | URL: http://ire.org/events-and-training/event/1494/1699/",International 8-9,False
,Spotlight: Being a reporter when everyone&#39;s a journalist and there&#39;s data everywhere,2015-03-05,9:00:00 a.m.,2015-03-05,10:00:00 a.m.,False,Speakers: Zeynep Tufekci | URL: http://ire.org/events-and-training/event/1494/1697/,International 6-7,False
spreadsheets,Excel for business and economics,2015-03-05,10:10 a.m.,2015-03-05,11:10 a.m.,False,"Speakers: Aaron Kessler - ​Whether you just started using Excel or it's been your companion for years, chances are there's a lot it can do you've never realized. We sometimes think of Excel as the stepping stone to database managers like Access or SQL Server, and overlook just how powerful its tools can be. Especially if you're covering business and economics, come find out why Excel is still so popular in the business world and we'll unlock some of its secrets. The people you're covering know these tricks - you should too. | URL: http://ire.org/events-and-training/event/1494/1611/",M103,False
